Hydraulic_Pressure(bar),Coolant_Pressure(bar),Air_System_Pressure(bar),Coolant_Temperature,Hydraulic_Oil_Temperature(°C),Spindle_Bearing_Temperature(°C),Spindle_Vibration(µm),Tool_Vibration(µm),Spindle_Speed(RPM),Voltage(volts),Torque(Nm),Cutting(kN)
80.34,4.86086247,6.751147706,6.9,48.1,38.3,1.834,29.718,27957,409,25.46008213,3.61
139.6712071,5.054399663,6.761903526,8.7,48.2,41,1.168,27.672,20303,315,23.51386495,2.83
91.5,4.566853902,6.411198621,4.9,47.2,38.1,0.904,16.141,26605,266,25.46687293,3.13
148.662548,5.057724885,6.227789328,11.9,49.4,35.3,0.633,24.257,20310,355,23.50576071,2.68
131.0481918,5.051942984,7.05011875,5.7,50.4,36.7,1.024,28.519,20298,241,23.51965711,2.9
145.2990279,5.04958003,5.761430767,6.8,48.3,36,1.123,29.251,20297,429,23.52081588,2.69
98.7,6.839413159,6.337634572,24.4,53.7,35,0.742,34.247,18638,356,25.61444361,3.49
170.0894611,4.979214772,5.399351647,7.4,49.7,34.5,0.899,28.348,20018,343,23.84863623,2.71
62.34,6.839413159,6.591627842,9,45.7,31.6,0.657,27.869,20504,368,25.45193794,2.73
111.7502053,4.978056686,6.343570586,9.9,44.5,44.1,0.897,39.846,20016,336,23.85101918,2.58
127.5689918,4.979234549,6.849350104,10.6,43.2,30.5,0.923,29.888,20018,386,23.84863623,2.82
111.2860766,5.058904048,6.615998908,12.2,48.2,31.5,1.183,18.113,20314,432,23.50113222,2.62
124.9137633,5.072330576,6.087501061,21,46,26.9,0.939,26.958,13272,333,23.39288514,2.64
125.95,6.863944117,6.547685882,25.6,42,38.6,0.712,23.668,18755,278,25.45465209,3.91
72.38,5.567856573,6.661836583,9.9,56.5,40,1.036,36.234,27613,353,24.46208239,3.33
78.33,6.560332199,5.858978605,9.7,48.1,35.8,0.946,32.774,26526,302,24.472114,2.71
128.8976615,5.227383809,7.015651803,22.4,48.5,39.3,1.043,21.366,15217,378,35.5812209,2.17
96.96,4.819676197,6.572712778,28.7,55,38.6,0.858,26.215,19440,319,14.20288973,3.49
145.98,4.82340648,5.890691916,26.4,38.8,31,0.849,29.791,19457,374,24.53625944,3.93
51.16,4.852677086,6.383652056,27,41.4,41.6,1.006,25.207,19577,354,24.38586096,3.59
120.6057212,5.229820438,6.270485821,22.4,48.2,32.9,1.661,37.604,14152,308,33.92336502,3
85.82,4.822650137,6.167180418,27,51.6,28.7,1.657,27.527,19456,355,14.10999444,2.68
58.6,6.820962547,6.96676221,30.3,52.7,38.9,0.961,35.756,19443,450,17.89931102,2.86
127.4593591,5.229753537,6.417340132,22.4,51.8,37.1,1.13,20.662,17726,278,35.58033366,1.85
103.5761466,5.130321956,7.039286625,21.6,45.5,30.5,1.657,21.132,14152,390,23.13778898,2.92
57.3,4.916312723,5.792243086,29.8,44.9,33.8,0.555,26.314,19784,423,16.96410507,2.75
107.9309707,5.098391373,7.0917116,21.2,44.7,39.7,1.325,21.182,19197,413,31.62033518,1.91
116.0745108,5.095632061,6.325828562,21.2,47.8,37,0.951,26.227,18436,437,30.51400825,1.89
121.6326698,5.093945332,7.315732093,21.2,43.4,37.9,1.241,28.863,17726,337,35.58033366,1.95
134.2142583,5.095720292,6.223416336,21.2,51.1,35.3,0.491,19.805,16198,462,23.3004051,1.99
135.8119306,5.094040107,6.818870944,21.2,44.4,27.4,0.762,30.761,15217,236,23.31861476,1.88
106.1276855,5.092841689,7.168799636,5.7,45.3,33.2,1.052,28.604,20470,445,23.32203224,1.88
134.3099363,5.097346355,6.761040938,4.5,45,36.8,0.905,25.637,17726,387,23.3004051,2.88
138.7899732,5.097677352,6.19357051,21.2,49.7,34.2,1.304,23.086,14266,336,23.3004051,2.82
91.54,4.604551453,6.259579363,26.4,51.2,40,0.464,24.451,18592,294,16.44955444,3.13
75.53,4.605076132,6.606661206,28.7,44,35.3,1.032,32.456,18594,315,15.1197393,2.59
58.7,4.605639814,6.957827619,27,48.3,37.1,0.404,16.991,18594,349,14.20288973,2.42
99.56,4.602896383,6.802293264,25.6,46.2,35.3,1.08,34.978,18590,398,15.90071615,3.33
148.9266008,3.053451378,5.742484836,20.3,46.7,32.4,1.511,19.626,20143,419,23.70064042,2.95
168.7970173,4.996191476,6.177731065,20.2,49.7,37,0.695,22.98,20066,439,23.79158776,2.02
109.0406761,5.005857708,6.343163162,9.9,48.9,38.2,1.618,32.338,14152,326,23.73363162,2.11
131.2658541,4.982835887,6.335328909,20.1,47.9,27.7,1.085,31.444,20033,347,28.38124,2.01
118.8639284,5.003071102,6.062090565,20.2,53.8,37,0.613,34.735,20096,319,23.75607086,3
132.8214064,3.126011472,6.690248204,5.7,44.7,34.6,1.006,43.624,17726,272,23.8331586,2.01
111.6968659,4.989508626,6.029679692,20.1,43,36.9,1.01,24.895,20048,304,23.81294892,2.17
141.5189961,5.200585147,6.899449281,22.2,49.2,33.4,1.312,31.531,20908,369,22.83346088,1.86
124.8479541,5.690640358,6.134580004,26.7,48.8,33,1.333,24.673,22802,377,20.93684764,1.87
96.371232,3.053148837,7.166194189,25.7,48.8,31.2,1.15,21.245,22313,363,21.39568861,2.88
99.26714472,3.895031347,6.206182865,20.3,50.7,34,0.743,26.577,20132,331,23.7135903,1.99
120.8177826,3.126011472,6.835145947,20.2,44.1,33.4,0.717,16.304,20063,324,23.79514529,1.95
125.4182022,3.106960002,6.852916131,20.2,49.9,35.9,1.686,30.197,20096,388,23.75607086,2.93
122.3091411,5.007064236,5.756943846,20.3,44.7,39.1,1.286,16.014,16198,406,28.38124,1.89
91.77,4.628407979,6.059738854,24.4,52.3,37.1,1.414,38.046,18662,343,17.89931102,2.63
114.6794626,3.164804649,6.649912866,23.1,42.4,37.4,1.222,21.857,21253,337,28.38124,2.89
64.22,4.632470519,6.742402654,30.3,44.2,27.1,0.68,17.501,18696,395,17.89931102,2.71
72.19,4.631963789,7.228818793,29.8,43.7,40.2,2,30.001,18677,303,15.1197393,3.91
75.27,4.633612606,6.91435182,26.4,53.9,36.6,1.025,30.299,18703,361,16.44955444,2.68
59.08,4.632531174,6.670580469,27,52.6,41.9,0.953,25.503,18697,354,14.20288973,2.48
99.19,4.632255824,6.732224919,28.7,46.9,35.9,1.638,18.274,18695,466,15.1197393,2.55
81.6,4.627300244,6.880450666,30.3,42.7,39.7,1.25,22.987,18660,363,16.96410507,2.55
95.84,4.62865564,6.898058912,29.8,50,36.7,0.537,21.723,25177,390,16.96410507,2.64
95.29,4.631763082,6.465047592,24.4,44.9,31.6,0.791,28.124,18676,223,15.90071615,2.53
91.7,4.630289963,6.102109736,25.6,45.3,38,1.307,25.36,18670,411,16.44955444,2.63
69.97,4.632143517,6.135294565,26.4,44.6,33.9,1.745,23.816,18684,295,14.44705039,2.77
50.59,4.626836515,6.570905822,28.7,46.5,34.8,0.489,21.161,18658,363,14.20288973,2.49
88.11,4.626795799,6.648780721,29.8,44.7,38.5,0.633,24.478,18656,378,15.1197393,2.56
111.1404806,3.105982448,7.278297665,20.2,44.5,37.5,1.136,31.451,20078,384,23.77736826,2.64
50.24,4.853148554,6.073899663,14.2,48,32.2,0.55,30.478,19579,339,15.90071615,3.55
87.17,4.881780773,6.08134781,28.7,45.4,32.6,1.527,28.087,19691,342,17.89931102,3.67
88.95,4.87287689,7.128030845,18.2,42.4,35.3,0.891,26.004,19652,360,16.96410507,3.69
82.01,4.84252053,6.442445097,8.1,47,38.1,1.62,22.532,25528,333,24.38212462,2.85
50.39,5.918357337,5.932723017,17.3,47.7,39.7,0.969,21.076,23432,372,24.47336853,3.33
145.0208641,3.888834693,6.168785968,12.2,51,37,0.554,32.839,15217,312,22.87613206,1.89
90.57,4.833808976,6.327580817,24.4,47.2,35.2,1.277,30.465,19502,308,17.89931102,2.62
54.6,4.831732053,6.030641613,25.6,55.2,32.9,1.39,36.111,19496,306,15.90071615,2.53
98.76,4.873096632,6.547637409,8,50.7,36,1.072,21.153,21951,305,15.1197393,2.55
73.49,4.830950284,5.926882156,21.9,46.1,29.9,0.871,12.235,17919,384,24.49597209,3.53
127.2746824,3.164804649,7.229447227,8.7,42.2,30.1,1.083,28.064,13272,352,22.74100891,2.17
111.8059937,3.105982448,6.379257677,7.4,52.1,33.5,0.696,28.203,19197,246,22.73775957,2.02
117.1226605,3.895031347,6.50613314,4.5,45.6,31.6,0.01,27.377,16198,313,22.80837036,1.91
123.0958075,3.053148837,5.994825887,11.9,47.3,34.5,1.134,15.695,14266,351,22.88490485,1.95
123.7002566,3.053451378,6.17311717,10.6,38.8,33.4,0.543,31.799,14152,313,22.91346292,1.99
127.1,4.87485962,5.4183556,30.3,43.3,37.2,1.305,28.952,19657,294,16.96410507,2.59
139.9493345,3.895031347,6.720155956,5.7,41.7,43.7,1.471,19.005,20862,328,22.88380788,3
139.434025,3.164804649,5.928643257,9.9,52.5,36.1,1.045,29.013,13272,359,23.13891043,1.88
139.434025,3.105982448,5.928643257,8.7,52.5,36.1,1.045,29.013,19197,359,23.3585478,2.72
70.52,4.574452248,6.126544873,25.4,47.6,36.2,1.322,16.591,18463,369,15.1197393,3.67
82.34,4.607414353,5.764472539,10.4,49.9,32.8,0.694,21.664,26605,357,15.90071615,3.49
76.22,4.606240648,6.187066996,17.3,43.3,32.9,1.408,18.863,26526,299,16.96410507,3.93
89.93,4.610135134,6.268958099,6.8,46.1,38.1,1.19,21.076,27613,351,17.89931102,3.59
87.05,4.607146349,5.823494494,7.8,48.4,33.5,1.004,24.87,20504,384,16.44955444,3.91
92.38,4.609861844,7.005159746,16.8,45.4,40.7,1.339,42.901,21951,342,14.20288973,3.61
134.1482237,3.106960002,7.009857332,7.4,46.8,26.9,0.458,26.477,18436,296,23.34255819,2.65
159.7620133,3.126011472,6.223668941,6.8,45.6,26.3,0.986,27.847,17726,385,23.29585712,2.85
95.68,4.648656023,6.706019412,14.8,48.6,32.4,0.78,25.887,23432,257,15.1197393,3.58
83.33,4.665468486,6.256602124,11.3,51.3,38.3,1.253,17.395,25528,401,14.20288973,3.55
171,4.664979529,6.203941594,15.2,48.6,34.2,0.617,30.458,17919,353,14.10999444,3.55
68.27,4.66484663,6.474158084,31.2,44.4,30.5,1.743,33.729,27957,333,14.44705039,3.67
67.14,4.632536661,6.415095203,6.4,44.4,37.4,1.32,14.635,20504,368,15.90071615,3.67
59.37,4.648836155,6.79256787,17.5,48.6,42.3,1.615,18.748,26605,366,17.89931102,3.61
97.64,4.663419861,5.959923001,9.2,45.3,30.2,0.978,29.85,27613,363,16.96410507,2.69
93.05,4.663538009,6.349492432,10.1,50.4,43.8,0.706,29.718,26526,311,15.1197393,2.53
99.39,4.648269418,6.705921012,16.2,49.2,39.2,1.118,24.115,23432,341,14.20288973,2.76
76.97,4.665057181,6.900526168,18.4,42.5,40.5,1.042,22.768,20801,324,16.44955444,2.47
71.75,4.674436339,7.263770721,16.2,42.8,31.6,0.635,33.03,25528,310,15.90071615,3.53
55.15,4.666801914,5.091411159,12.3,46.2,36.2,0.276,31.194,17919,388,17.89931102,2.71
93.1,4.666661578,6.478603269,18.2,48.2,37.4,1.372,19.119,27957,414,16.96410507,2.64
91.92,4.632907576,6.770092951,18.8,37.1,37.6,0.967,26.864,21951,358,16.44955444,3.69
134.9818453,5.674678995,6.655508198,26.5,51.7,35.3,0.908,25.41197509,22734,352,20.99947216,2.88
91.1738057,3.164804649,6.224337754,26.7,47.1,31,0.971,16.006,22851,269,35.5812209,3.01
162.9963,5.717711526,6.185697843,26.8,50,37.5,1.053,19.534,22874,389,28.38124,1.87
107.4031822,5.691967493,6.171530672,6.8,45.4,37.1,0.663,25.693,22807,320,20.93225764,1.99
143.8245061,5.669818485,6.049233972,7.4,50.2,25.5,1.308,27.332,22690,453,35.5812209,1.95
131.3817088,3.164804649,6.275383555,26.8,47.7,36.2,0.792,27.575,22870,380,30.51400825,3.1
115.0651448,3.126011472,6.295071572,26.7,46.5,34.1,1.023,34.411,22809,379,35.5812209,3.02
115.8137359,3.053451378,6.904676296,26.7,41.8,42,1.091,26.283,22842,375,32.37045571,2.97
125.2182918,3.895031347,6.020382637,26.7,48.6,31.9,0.923,22.069,22833,350,34.97300419,2.97
100.922193,3.105982448,6.396265557,26.5,37.8,26.5,0.959,20.785,22696,317,34.97300419,2.91
141.6807075,3.106960002,6.742656128,26.6,51.6,34.1,0.903,27.917,22796,364,33.92336502,3.06
141.7204771,3.126011472,6.178056052,26.7,51.2,33.9,0.633,17.081,22858,284,32.51929855,3.1
130.7696259,3.895031347,6.205196818,26.7,46.8,31.5,1.329,27.786,22858,262,31.62033518,1.95
115.6612125,3.888834693,6.523586269,26.5,46.2,34.6,1.191,27.086,22684,398,30.51400825,1.99
101.5518705,3.053148837,6.272150964,26.8,46.6,29.9,1.21,34.898,22860,333,20.88372703,1.88
111.1316179,5.188409155,7.149432818,22.1,48.9,34.4,0.927,25.781,14266,344,22.86955689,1.87
94.3,4.878286381,6.215761436,24.1,47.4,42.2,0.841,28.126,19667,314,24.27426654,2.63
114.1963231,5.189908353,7.305077874,22.1,48.1,37.5,0.899,33.856,20878,356,22.86627072,1.91
115.8742504,5.190406955,7.423157075,22.1,48.7,32.8,1.227,22.472,17726,348,22.86517554,2.02
137.725198,5.179254956,7.063140836,22,51.8,37.5,1.213,29.174,13272,408,22.91456273,1.85
89.69829109,5.204676947,7.247590253,22.2,49.2,34.9,0.667,30.564,18436,399,22.81600076,2.17
121,6.878521595,5.991501517,17,49.6,33.7,0.589,27.915,27957,370,24.27426654,2.92
94.3,4.875264631,6.189088793,11.4,44.6,36.8,0.888,21.472,19657,350,16.44955444,3.55
59.65,4.879948835,6.449795081,15.7,49.9,33.5,1.299,26.614,19679,399,24.2594644,3.58
82.23,4.879792088,6.030169971,6.6,48.9,34.2,0.808,13.849,19671,289,24.26933049,3.93
58.18,4.905754631,6.393062036,33.6,51.4,38.7,1.212,29.513,20504,358,24.15390842,2.78
73.63,4.898380749,6.575948463,25.8,49,35,0.671,19.791,21951,266,24.19552988,2.58
112.4306642,5.128735848,6.499274596,21.6,40.5,31.4,1.075,28.592,20624,340,23.14788596,1.89
147.7297129,3.895031347,6.652201484,21.7,52.3,32.4,1.288,31.434,20671,359,34.97300419,2.9
124.9278409,3.126011472,6.656309996,21.1,46.8,27.3,0.959,33.023,20419,410,23.38028307,2.63
140.5744191,5.077490154,6.787252368,21.1,47.1,37.7,1.353,18.254,20421,404,23.37799324,1.86
61.89,4.610174458,6.337722845,5.9,44,35.9,1.264,17.373,26526,349,25.64884758,2.52
107.931661,3.106960002,6.465564466,21,45.7,25.2,0.256,25.477,20418,334,23.38142815,2.71
111.7500504,3.105982448,6.448644857,21.1,43.9,34,1.009,28.877,20449,378,23.34598269,2.95
111.8191497,3.164804649,6.226346848,21,45.9,37.9,1.196,20.719,20418,336,23.38142815,1.88
127.5308711,5.088047184,6.044145841,21.1,46.1,37.1,1.396,26.128,20449,367,23.34598269,1.95
74.46,4.610816353,6.82528651,12.6,41,35.3,0.518,27.023,26605,318,25.64884758,2.55
86.44,4.610952675,6.485976064,25.3,55,39.6,0.959,30.182,27613,348,25.64746965,2.69
51.83,4.671667475,6.514054048,21.1,40.4,32.1,1.168,25.747,18898,345,25.26203831,2.56
82.47,4.660817052,6.630536151,24.2,46.2,31,1.738,33.046,18850,378,25.32636605,2.67
71.64,4.663126404,6.686521942,32.5,44.7,35.6,0.572,16.325,18852,413,25.32367919,2.63
98.82,4.671498417,6.470514651,18.8,53.4,37.8,1.338,29.38,18896,394,25.26471211,2.73
70.4,4.668727514,6.041031575,12.8,46.4,29.6,1.294,19.448,18884,355,25.28076679,2.57
86.78,4.667756019,6.877181032,26.1,48.3,30.8,0.783,31.668,18873,409,25.29550151,2.46
63.81,4.672044389,6.224209327,4.5,51.1,27.7,1.25,26.123,18900,277,25.25936508,2.47
80.28,4.673027644,6.687157127,22.2,50.7,34.9,0.523,19.909,18900,335,25.25936508,2.5
64.26,4.6683925,5.420784643,7.7,55.8,38.4,0.963,22.613,18880,385,25.28612288,2.81
73.41,4.673346142,6.633157332,26.7,43.7,31.8,0.506,31.193,18902,278,25.25669241,2.74
117.4018051,5.686880297,6.874289888,26.6,50,36.8,0.858,27.823,22786,368,20.9515492,2.02
77.84,4.653153391,6.589932973,25.8,44.7,34.7,0.861,27.08,18804,330,25.38832163,2.69
66.22,4.667316017,6.429534814,18.6,43.7,32.6,1.09,11.117,18872,315,25.29684188,2.55
83.86,4.668268755,6.885810607,17,49.2,43,1.223,21.085,18877,312,25.29014144,3.49
94.72,4.671268193,6.574089194,25.2,50.3,41.1,1.324,12.46,23432,393,25.27139908,2.73
115.4623124,5.751379092,6.089825176,11.9,49.3,40.2,1.274,25.177,23007,360,34.97300419,3.2
142.1885663,5.752442661,7.106563393,12.2,50.1,30.5,0.908,21.124,23015,390,35.5812209,3.32
125.4765988,5.752495315,7.073324732,4.5,51.4,31.2,0.702,23.859,23017,391,32.37045571,1.92
123.3352471,5.753448767,6.963829199,5.7,50.7,35.4,0.957,34.61,23036,359,35.58033366,3.09
148.6975968,5.752504497,6.625631709,6.8,47.3,29.9,1.02,23.524,23035,306,30.51400825,3.27
137.5388771,5.680660038,6.867748514,7.4,54.3,32.8,1.325,25.106,22760,353,31.62033518,3.06
132.4456336,5.671659856,6.609598607,11.9,42.7,35.7,1.431,33.873,22717,329,35.5812209,2.93
130.8490799,5.719618378,5.87008653,7.4,45.4,40.2,1.025,21.624,17726,314,20.86000175,3.22
134.7344374,5.717794637,6.704675613,8.7,44.2,29.4,0.675,26.968,18436,349,20.86638402,3.27
100.4457505,5.68161092,6.45137729,9.9,53,33.7,0.538,21.729,19197,378,20.96719224,2.99
112.5134645,5.677278668,5.754263421,10.6,51.2,37.3,0.656,19.872,13272,309,28.38124,3.16
71.68,4.663410412,5.603324712,6.7,48.7,41.9,0.855,25.586,18852,419,25.32367919,3.91
118.8846354,5.682929623,6.14826766,26.6,48,25.2,1.418,25.593,22771,363,20.96535067,3
63.64,4.668244017,6.36740194,4.9,41.5,33.8,0.356,34.623,18875,269,25.29282119,3.59
157.47,4.669487275,6.09891663,8.6,42.6,37.3,0.379,38.901,18889,324,25.27407486,2.61
121.86,4.669303357,6.638372725,25.8,50,29.8,0.879,16.829,18888,260,16.44955444,2.54
79.83,4.67432942,6.84863415,13.4,50.7,37.6,1.469,16.663,18902,314,15.90071615,3.36
125.2816829,5.676478786,5.94742305,12.2,40.9,36.3,1.24,22.02,15217,349,20.97732665,1.88
106.3814897,5.684724809,6.915202633,26.6,53.3,35,0.447,35.485,22773,343,20.96350942,2.01
95.1,6.839413159,5.801322827,15.6,41.9,37.9,0.884,31.529,26526,290,24.22499619,3.55
124.9364624,5.544514339,5.854380308,8.7,50.1,34.2,1.346,20.319,22214,405,32.37045571,3.09
61.21,5.918357337,6.689540311,7.1,49.5,28.3,1.102,23.066,17919,372,24.11364784,3.61
61.2,5.567856573,6.579863684,6.8,41.7,35.4,1.16,22.877,20801,310,24.0638137,3.69
55.29,4.566853902,6.302451835,22.4,49.7,30.5,0.833,19.964,23432,365,24.21393792,3.67
53.45,4.939960216,6.234536426,8.4,49.1,38.5,1.273,26.915,26605,327,24.02989883,3.58
121,6.863944117,6.914088086,5.8,46.7,37.2,1.011,35.463,27613,370,24.21393792,3.55
157.47,4.84252053,6.214941871,16.6,49.5,46.3,0.873,26.21,21951,316,24.05532601,2.93
85.1,4.897138697,6.177584254,19.1,42.9,31.4,1.056,32.676,20504,337,24.20043595,3.93
69.49,4.910853549,5.984824323,8.9,45.1,37.1,0.955,27.447,21951,336,24.13925267,3.59
67.94,4.915554109,6.730981674,23,48,35.2,1.064,21.056,27957,374,24.13193146,3.49
71.06,4.918131688,6.623237579,9,44,37.3,0.895,25.796,17919,379,24.12339565,3.91
90.89,4.918613459,6.597675226,24.4,51.8,35.2,0.304,25.539,25528,342,24.11852076,3.61
123.4926704,5.563162468,6.265351785,12.2,47.61831723,40.3,0.415,25.41197509,14266,321,21.41200215,3.02
87.45,6.893181921,6.029925738,14,48.5,34,1.276,35.725,27957,338,24.05775045,2.94
98.49,5.918357337,6.671507417,21.3,45.5,39.9,0.732,31.038,19770,354,24.1477997,2.76
137.6178643,5.544233937,6.499274596,25.5,48.2,35.4,0.767,23.723,14266,320,32.37045571,1.99
90.94,4.891376687,6.853217896,17.3,45.1,33.1,1.045,20.772,23432,428,24.21148189,2.9
137.6843499,5.563127048,6.703295903,25.6,48.7,30.9,0.51,35.801,22294,394,30.51400825,2.92
154.0503708,5.550615034,6.657003651,25.5,48,41.3,1.513,20.211,22246,372,31.62033518,3.23
85.04536536,5.445148066,6.303723756,5.7,50.4,32.1,0.875,22.744,16198,427,21.88511965,2.83
124.6923147,5.447689729,6.129839459,9.9,42.6,29.8,0.828,27.852,13272,227,29.86907925,3
122.0287909,5.537401445,5.799850326,8.7,51.1,35.9,-0.461,16.647,19197,349,21.53369418,2.85
93.99138933,5.453119202,6.495442274,7.4,49.2,34,0.829,20.692,18436,345,21.86206897,1.95
131.6365449,5.504483404,6.892799923,6.8,52.1,33.4,1.361,12.361,17726,312,21.66365658,2.85
141.3716044,5.572557863,6.854193043,25.7,45.5,26.2,1.286,16.024,13272,296,34.97300419,3.08
117.7085579,5.54733782,6.534709338,25.5,41.3,39.1,0.513,24.691,14152,395,35.5812209,1.88
141.2648858,5.540903014,6.195979604,4.5,48,36.5,0.568,16.842,15217,303,21.50362596,3.22
121.86,6.960635908,6.601294516,14.9,48.5,31.4,1.377,23.262,20504,347,24.25453437,2.89
60.41,5.358623507,6.763426314,17,53.9,33.3,1.146,29.843,26605,399,24.36843449,2.76
100.5678418,5.191414746,6.044849853,22.1,49,37.2,0.735,18.801,20889,291,35.5812209,1.95
124.3522978,5.267502686,6.387396795,22.9,50,36.1,0.733,18.944,21186,372,32.37045571,2.74
112.4504743,3.105982448,7.185931759,22.1,51.8,31,0.867,28.699,13272,412,33.92336502,2.11
170.8247625,3.164804649,5.955234644,22.2,41.7,32.6,1.067,29.79,14152,422,34.97300419,1.85
121.8694483,5.192142878,7.35789815,22.1,43.6,34.6,1.361,19.648,20896,412,34.97300419,1.99
170.8247625,5.213152393,5.955234644,22.3,41.7,32.6,1.067,29.79,16198,422,35.58033366,2.88
88.33477872,5.191780718,7.041050965,22.1,49.7,38.6,0.514,34.533,15217,412,32.37045571,1.87
154.825822,5.230668926,6.439816722,22.5,50.3,31.3,0.719,26.194,21025,382,35.58033366,2.7
121.9742799,3.106960002,6.328847951,22.1,47,34.1,0.865,25.268,19197,324,32.51929855,2.17
103.7258973,5.200355865,6.59318441,22.2,44,29,0.864,30.958,14266,343,35.5812209,1.86
76.69,6.839413159,6.04627674,23.7,51.7,29.4,0.671,28.273,23432,366,23.88921137,3.55
88.16,6.863944117,6.615413265,5.3,41.9,40.5,0.631,34.677,26526,335,23.89040685,2.85
83.64,4.86086247,6.146011425,23.4,50.1,35.2,0.874,31.876,27613,378,23.9023682,2.58
124.2278676,3.895031347,6.617426315,21.7,50.1,40,0.879,23.497,17726,383,30.51400825,3
145.6820707,3.126011472,6.980841025,21.7,45.9,37.1,0.642,24.163,18436,319,31.62033518,2.02
86.16,4.618154477,6.465962792,8.6,47.1,27.4,0.833,34.412,18619,406,25.6405822,2.77
92.13,4.61494304,6.737319799,26.4,41.8,38.6,1.668,30.972,26526,404,25.64333674,3.69
71.18,6.612112924,5.98499638,25.6,48.6,40.1,0.918,33.818,23432,305,25.64471422,3.67
94.17,4.616638516,7.147527189,19.1,46.6,32.4,0.946,27.682,18617,353,25.64333674,2.78
71.75,6.560332199,5.989277912,20.5,53.1,34.6,1.251,34.247,25528,296,25.63645151,3.67
74.82,4.566853902,6.20310314,26.6,51.1,33.1,0.793,10.825,18621,330,25.63782826,2.56
159.2557648,5.078441948,7.037737087,6.8,47.3,31.8,1.917,24.818,17726,377,33.92336502,2.69
76.48,5.567856573,7.152359803,4.1,43.4,41.1,1.212,26.537,26155,344,25.64609186,2.77
93.54,6.560332199,6.717763765,29.5,48.4,37.2,1.423,16.379,18617,268,25.64333674,2.69
82.15,4.619165122,7.151390209,20.3,43.4,35.8,0.386,20.41,18621,397,25.63782826,2.45
94.76,4.617635747,6.987172578,4.9,46.7,36,0.844,31.916,18617,390,25.64333674,2.72
62.64,4.65509905,6.758022276,26.4,43.5,35.8,0.422,21.507,18819,328,25.36808545,3.49
55.12,4.653885966,6.34519758,28.7,46.9,40.1,1.165,30.014,26605,400,25.37617605,3.55
68.31,4.657393363,6.10813112,29.8,50.3,28.5,0.713,16.718,20504,336,25.35057349,3.55
61.18,4.656449389,6.714380871,30.3,44.2,33.4,0.592,26.266,21951,402,25.35865293,3.58
121.86,4.655496495,6.999849186,24.4,42.6,37.4,1.356,23.284,18824,306,25.36134722,3.93
157.47,4.655210904,5.936011035,25.6,47.5,25.3,0.661,20.42,18824,288,25.36134722,3.59
79.13,4.652735222,6.923720235,28.7,51,38.5,0.856,24.057,18803,340,25.38967186,2.48
60.95,4.654960279,7.441999292,27,50.8,32,0.505,25.4,18813,346,25.37617605,3.91
138.9109883,5.767252168,6.854931156,27.5,48,36.5,0.611,18.775,23123,355,20.64619643,2.99
93.28,4.65032046,6.862315084,25,48.6,36.4,0.957,31.658,18776,355,25.42618236,3.55
77.2,4.650913204,7.119539315,22.6,43,35.1,0.839,26.218,18784,404,25.23496773,2.57
